                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 2.0761,                 2.9275,                 2.0002,                0.39462,                0.05667,                0.03728,                0.02112,                 2.1084,                 3.2632,                 2.1635,               0.002377,               0.002377,               0.002377
                     79,                 2.0731,                 2.8866,                 1.9769,                0.21755,                0.08129,                0.03412,                0.01788,                 2.1989,                 3.8121,                 2.3078,               0.002278,               0.002278,               0.002278
                     80,                 2.0759,                 2.8998,                 1.9909,                0.18284,                0.12441,                0.01664,                0.01073,                 2.1616,                 7.5967,                 2.2656,               0.002179,               0.002179,               0.002179
                     81,                 2.0248,                 2.8905,                 1.9737,                0.23749,                0.08922,                0.03913,                0.01984,                 2.0356,                 3.8065,                 2.1258,                0.00208,                0.00208,                0.00208
                     82,                 2.0551,                 2.8638,                 1.9696,                0.24363,                0.10429,                0.02945,                0.01523,                 2.0486,                  4.566,                 2.1873,               0.001981,               0.001981,               0.001981
                     83,                 2.0486,                 2.9372,                 2.0036,                0.41393,                0.06925,                0.03641,                0.01989,                 2.1165,                  4.112,                  2.238,               0.001882,               0.001882,               0.001882
                     84,                 2.0345,                 2.8658,                 1.9629,                0.25113,                0.08335,                0.04094,                0.02236,                 2.0766,                 3.4373,                 2.1568,               0.001783,               0.001783,               0.001783
                     85,                 2.0093,                  2.847,                 1.9691,                0.22276,                0.08901,                0.03646,                0.01869,                 2.1049,                 4.0252,                 2.2014,               0.001684,               0.001684,               0.001684
                     86,                 2.0564,                 2.9023,                 1.9839,                0.21867,                0.08498,                0.03785,                0.02165,                 1.9944,                 4.1814,                 2.2801,               0.001585,               0.001585,               0.001585
                     87,                 2.0425,                 2.8452,                  1.944,                 0.2332,                0.09228,                0.03879,                0.02071,                 2.0646,                 3.3026,                 2.1571,               0.001486,               0.001486,               0.001486
                     88,                 2.0394,                 2.8793,                 1.9828,                0.23831,                 0.0883,                0.04058,                0.02259,                 2.0476,                   3.57,                 2.1343,               0.001387,               0.001387,               0.001387
                     89,                 2.0342,                 2.8478,                 1.9626,                0.23126,                0.09874,                 0.0391,                0.02238,                 2.0151,                  3.783,                 2.1213,               0.001288,               0.001288,               0.001288
                     90,                 2.0167,                 2.8599,                 1.9488,                0.38268,                0.08669,                0.04139,                0.02267,                 1.9734,                 3.3045,                 2.0775,               0.001189,               0.001189,               0.001189
                     91,                 2.0069,                 2.8632,                 1.9471,                0.22127,                0.07713,                0.04439,                0.02452,                 2.0166,                 3.4144,                 2.1114,                0.00109,                0.00109,                0.00109
                     92,                 1.9732,                 2.8122,                 1.9257,                0.38037,                0.08344,                0.04281,                0.02361,                 1.9972,                 3.9918,                 2.1067,               0.000991,               0.000991,               0.000991
                     93,                 2.0447,                 2.8431,                 1.9652,                0.40066,                0.06502,                0.03992,                0.02245,                 1.9866,                 3.7273,                 2.1055,               0.000892,               0.000892,               0.000892
                     94,                 1.9978,                 2.8413,                 1.9226,                0.22077,                0.09512,                0.03808,                0.02007,                 2.0142,                 3.7606,                 2.1349,               0.000793,               0.000793,               0.000793
                     95,                 1.9896,                 2.8326,                 1.9447,                0.23362,                0.10131,                0.03927,                0.02268,                 2.0131,                  3.821,                 2.1305,               0.000694,               0.000694,               0.000694
                     96,                 1.9856,                 2.7726,                 1.9087,                0.55217,                0.07258,                0.03379,                0.01919,                 1.9801,                 4.2876,                 2.1227,               0.000595,               0.000595,               0.000595
                     97,                 1.9502,                 2.7544,                 1.8667,                 0.2122,                 0.0928,                0.04164,                0.02286,                 2.0182,                 3.7113,                 2.1522,               0.000496,               0.000496,               0.000496
                     98,                 1.9927,                 2.7804,                 1.9213,                0.21229,                0.08974,                0.04268,                 0.0244,                 1.9843,                 3.7313,                 2.1223,               0.000397,               0.000397,               0.000397
                     99,                 1.9764,                 2.7998,                 1.9223,                0.23634,                0.09146,                0.03835,                 0.0215,                 1.9837,                 3.7815,                 2.1196,               0.000298,               0.000298,               0.000298
