                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.0119,                 1.4968,                 1.0894,                0.36828,                0.26036,                0.18101,                0.13088,                 1.1962,                   1.88,                 1.2721,               0.005248,               0.005248,               0.005248
                     51,                 1.0409,                 1.4794,                 1.0872,                0.42568,                0.21009,                 0.1956,                0.13989,                  1.154,                 1.7994,                 1.2474,               0.005149,               0.005149,               0.005149
                     52,                 1.0314,                 1.5084,                 1.0941,                0.33162,                0.20147,                0.21056,                0.15312,                 1.1899,                 1.8739,                 1.2568,                0.00505,                0.00505,                0.00505
                     53,                 1.0066,                 1.4652,                 1.0772,                0.43465,                0.24407,                0.20714,                   0.15,                 1.1535,                 1.8445,                 1.2343,               0.004951,               0.004951,               0.004951
                     54,                 1.0021,                  1.453,                 1.0734,                0.37251,                0.23944,                0.16645,                0.11635,                  1.222,                  1.901,                 1.2988,               0.004852,               0.004852,               0.004852
                     55,                0.99504,                 1.4456,                 1.0571,                0.42532,                0.22206,                 0.1917,                0.14062,                  1.139,                 1.8315,                 1.2435,               0.004753,               0.004753,               0.004753
                     56,                0.99659,                 1.4234,                 1.0621,                0.39584,                0.25957,                0.17673,                0.12566,                 1.1576,                 1.8491,                 1.2585,               0.004654,               0.004654,               0.004654
                     57,                0.97702,                 1.4284,                 1.0652,                0.35271,                0.24192,                0.16468,                 0.1153,                 1.1849,                  1.846,                 1.2563,               0.004555,               0.004555,               0.004555
                     58,                0.99642,                 1.4058,                 1.0596,                0.43028,                0.21848,                 0.1827,                0.13023,                 1.1571,                 1.8632,                  1.236,               0.004456,               0.004456,               0.004456
                     59,                0.98491,                 1.4005,                 1.0626,                0.41379,                0.21115,                0.18548,                0.12999,                 1.1499,                 1.8446,                 1.2328,               0.004357,               0.004357,               0.004357
                     60,                0.97139,                 1.3821,                 1.0637,                0.40972,                0.20949,                0.19022,                0.13509,                 1.1823,                 1.8915,                 1.2545,               0.004258,               0.004258,               0.004258
                     61,                0.97307,                 1.3717,                 1.0641,                 0.4683,                0.20774,                0.19979,                0.14194,                 1.1723,                  1.857,                  1.237,               0.004159,               0.004159,               0.004159
                     62,                0.96353,                 1.3621,                 1.0544,                0.54298,                0.22427,                0.20291,                0.14778,                 1.1941,                  1.875,                 1.2717,                0.00406,                0.00406,                0.00406
                     63,                0.96303,                 1.3697,                 1.0527,                0.39963,                0.23485,                0.19494,                0.14178,                 1.1707,                 1.8141,                 1.2625,               0.003961,               0.003961,               0.003961
                     64,                0.98511,                 1.3808,                 1.0694,                 0.2099,                0.25676,                0.18369,                0.12815,                  1.175,                 1.8909,                  1.273,               0.003862,               0.003862,               0.003862
                     65,                0.95734,                 1.3609,                 1.0469,                0.44854,                 0.2336,                0.18587,                 0.1309,                 1.1891,                 1.8912,                 1.2874,               0.003763,               0.003763,               0.003763
                     66,                0.95654,                 1.3304,                 1.0412,                0.24966,                0.21771,                0.21281,                0.15757,                 1.1841,                 1.8405,                 1.2749,               0.003664,               0.003664,               0.003664
                     67,                0.96816,                 1.3449,                 1.0456,                0.37467,                0.25667,                0.17419,                0.12663,                 1.1915,                 1.9444,                  1.273,               0.003565,               0.003565,               0.003565
                     68,                0.94248,                 1.3252,                 1.0399,                0.45334,                0.23259,                 0.1843,                0.12936,                 1.1723,                 1.9093,                 1.2636,               0.003466,               0.003466,               0.003466
                     69,                0.91419,                  1.291,                 1.0201,                0.22145,                0.26998,                0.19389,                0.13881,                 1.1557,                 1.8138,                 1.2478,               0.003367,               0.003367,               0.003367
                     70,                0.92502,                  1.293,                 1.0284,                0.19247,                0.28929,                0.19515,                0.14054,                 1.1371,                 1.8624,                 1.2344,               0.003268,               0.003268,               0.003268
                     71,                 0.9324,                 1.2881,                 1.0361,                0.39858,                0.22872,                  0.183,                0.13452,                  1.148,                 1.8306,                 1.2445,               0.003169,               0.003169,               0.003169
                     72,                0.91856,                 1.2719,                   1.03,                0.46056,                0.26645,                0.19636,                0.13823,                 1.1554,                 1.9079,                 1.2409,                0.00307,                0.00307,                0.00307
                     73,                0.90943,                 1.2684,                 1.0287,                0.40779,                0.29055,                0.19554,                0.13883,                 1.1583,                 1.8237,                 1.2647,               0.002971,               0.002971,               0.002971
                     74,                 0.9101,                 1.2337,                 1.0318,                0.22403,                0.26078,                0.19191,                0.14098,                 1.1272,                 1.8353,                 1.2423,               0.002872,               0.002872,               0.002872
                     75,                0.92827,                 1.2515,                 1.0282,                 0.3521,                0.31293,                0.17859,                0.13081,                 1.1361,                 1.8501,                 1.2217,               0.002773,               0.002773,               0.002773
                     76,                0.90546,                 1.2423,                 1.0194,                0.42205,                0.22645,                 0.1875,                0.13461,                 1.1573,                 1.9263,                 1.2603,               0.002674,               0.002674,               0.002674
                     77,                0.91861,                 1.2572,                 1.0266,                 0.3917,                0.27787,                 0.1975,                 0.1393,                 1.1342,                 1.8261,                 1.2386,               0.002575,               0.002575,               0.002575
                     78,                0.92255,                 1.2476,                 1.0288,                0.39759,                0.29409,                0.19543,                0.13568,                 1.1356,                  1.854,                 1.2414,               0.002476,               0.002476,               0.002476
