                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                 1.0769,                 1.7675,                 1.0424,                 0.2519,                 0.2707,                0.17933,                0.12341,                  1.067,                 2.0516,                 1.0879,             0.00058004,             0.00058004,             0.00058004
                     44,                 1.0799,                 1.7435,                 1.0457,                0.29676,                0.24128,                0.18614,                0.12298,                 1.0837,                 2.0497,                 1.0879,             0.00057004,             0.00057004,             0.00057004
                     45,                 1.0625,                 1.7594,                  1.063,                0.29273,                0.27731,                0.19271,                0.13197,                 1.0671,                 1.9868,                 1.0879,             0.00056004,             0.00056004,             0.00056004
                     46,                  1.072,                 1.7566,                 1.0422,                0.30741,                0.26299,                0.19419,                0.13737,                   1.08,                 2.0155,                 1.0878,             0.00055004,             0.00055004,             0.00055004
                     47,                 1.0718,                  1.732,                 1.0408,                0.28571,                0.27449,                0.19797,                0.13757,                  1.049,                 1.9756,                 1.0758,             0.00054005,             0.00054005,             0.00054005
                     48,                 1.0679,                 1.7089,                 1.0415,                0.28931,                0.27586,                0.20278,                0.14247,                 1.0563,                 2.0106,                 1.0791,             0.00053005,             0.00053005,             0.00053005
                     49,                 1.0793,                 1.7556,                 1.0473,                0.43957,                0.29073,                 0.2153,                0.15566,                 1.0825,                 1.9745,                 1.0879,             0.00052005,             0.00052005,             0.00052005
                     50,                 1.0758,                 1.7038,                 1.0488,                 0.4274,                0.27035,                0.19346,                0.13767,                 1.0731,                 2.0316,                 1.0812,             0.00051005,             0.00051005,             0.00051005
                     51,                 1.0408,                 1.6562,                 1.0286,                0.27584,                0.30707,                0.20975,                0.15025,                 1.0835,                 1.9831,                 1.0956,             0.00050005,             0.00050005,             0.00050005
                     52,                 1.0389,                 1.6446,                 1.0346,                0.28602,                0.27651,                0.19158,                0.13644,                 1.0718,                 2.0286,                 1.0802,             0.00049005,             0.00049005,             0.00049005
                     53,                  1.054,                   1.66,                 1.0379,                0.30397,                0.26961,                0.19658,                0.13994,                 1.0611,                 2.0046,                   1.08,             0.00048005,             0.00048005,             0.00048005
                     54,                 1.0273,                 1.6442,                 1.0312,                0.28158,                0.28018,                0.18475,                0.13263,                 1.0659,                 2.0485,                 1.0867,             0.00047005,             0.00047005,             0.00047005
                     55,                 1.0651,                 1.6612,                 1.0358,                0.46285,                0.27353,                0.19064,                0.13277,                 1.0569,                 2.0104,                 1.0841,             0.00046005,             0.00046005,             0.00046005
                     56,                 1.0569,                 1.6491,                 1.0465,                0.51251,                0.22894,                0.18593,                0.12881,                 1.0479,                 2.0135,                 1.0649,             0.00045005,             0.00045005,             0.00045005
                     57,                 1.0352,                 1.6304,                 1.0269,                0.46789,                0.27044,                0.18842,                0.13347,                 1.0315,                 2.0177,                 1.0617,             0.00044006,             0.00044006,             0.00044006
                     58,                 1.0326,                 1.6039,                  1.029,                0.45962,                0.25457,                0.18689,                0.13087,                   1.03,                 2.0212,                 1.0656,             0.00043006,             0.00043006,             0.00043006
                     59,                 1.0471,                 1.5981,                 1.0212,                0.27594,                0.26255,                  0.183,                0.12551,                 1.0473,                 2.0181,                 1.0705,             0.00042006,             0.00042006,             0.00042006
                     60,                 1.0536,                 1.6266,                 1.0364,                0.26634,                0.26636,                0.18063,                0.12467,                 1.0493,                 2.0241,                 1.0741,             0.00041006,             0.00041006,             0.00041006
                     61,                 1.0231,                 1.5957,                 1.0248,                0.35241,                0.25503,                0.21941,                0.15522,                 1.0516,                 1.9634,                 1.0778,             0.00040006,             0.00040006,             0.00040006
                     62,                 1.0576,                 1.5981,                 1.0347,                0.33217,                0.27189,                0.20052,                0.13951,                 1.0491,                 2.0182,                  1.076,             0.00039006,             0.00039006,             0.00039006
                     63,                 1.0208,                  1.549,                 1.0157,                0.32092,                0.29129,                0.19889,                0.14184,                 1.0289,                  1.989,                 1.0625,             0.00038006,             0.00038006,             0.00038006
                     64,                 1.0175,                 1.5667,                 1.0291,                0.54184,                0.24785,                0.21197,                0.15372,                  1.034,                 1.9537,                 1.0654,             0.00037006,             0.00037006,             0.00037006
                     65,                 1.0368,                 1.5796,                 1.0223,                0.49342,                 0.2378,                0.19829,                0.14179,                 1.0314,                 1.9725,                 1.0687,             0.00036006,             0.00036006,             0.00036006
                     66,                0.99523,                 1.5384,                 1.0107,                0.30547,                0.25453,                 0.2013,                0.14359,                 1.0513,                 1.9802,                 1.0802,             0.00035006,             0.00035006,             0.00035006
                     67,                 1.0183,                 1.5526,                 1.0164,                0.31917,                 0.2467,                0.21044,                0.14801,                 1.0411,                 1.9955,                 1.0786,             0.00034007,             0.00034007,             0.00034007
