                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.1594,                 1.7999,                 1.1891,                 0.1321,                0.24921,                 0.1571,                0.11663,                 1.1567,                  1.987,                 1.2479,               0.003367,               0.003367,               0.003367
                     70,                  1.156,                 1.7464,                  1.186,                0.20502,                0.26341,                 0.1667,                0.12081,                 1.1869,                 1.9593,                 1.2648,               0.003268,               0.003268,               0.003268
                     71,                 1.1326,                 1.7565,                 1.1788,                0.12815,                0.26376,                0.15745,                0.11702,                 1.1831,                 1.9508,                 1.2556,               0.003169,               0.003169,               0.003169
                     72,                 1.1312,                 1.7496,                 1.1688,                0.47251,                0.21294,                0.16242,                0.11894,                 1.1777,                 1.9389,                 1.2485,                0.00307,                0.00307,                0.00307
                     73,                 1.1157,                 1.7297,                 1.1659,                0.40479,                0.22995,                0.18552,                0.13729,                 1.1409,                 1.8612,                 1.2215,               0.002971,               0.002971,               0.002971
                     74,                 1.1236,                 1.7285,                 1.1671,                0.34138,                0.25211,                0.17405,                0.12983,                 1.1327,                 1.8833,                 1.2438,               0.002872,               0.002872,               0.002872
                     75,                   1.08,                 1.6773,                 1.1451,                0.37597,                0.26517,                0.16057,                0.11928,                 1.1193,                 1.8988,                 1.2313,               0.002773,               0.002773,               0.002773
                     76,                 1.1131,                 1.7192,                 1.1585,                0.19189,                0.24546,                0.19958,                0.14887,                 1.1321,                 1.9325,                 1.2455,               0.002674,               0.002674,               0.002674
                     77,                 1.0825,                 1.6887,                 1.1484,                0.37484,                0.22186,                0.20004,                0.15184,                 1.1037,                 1.8399,                 1.2177,               0.002575,               0.002575,               0.002575
                     78,                 1.0857,                 1.6921,                 1.1488,                0.51424,                0.20819,                0.19637,                0.14993,                 1.1179,                 1.8517,                 1.2359,               0.002476,               0.002476,               0.002476
                     79,                 1.1048,                 1.6748,                 1.1511,                0.34597,                0.22616,                0.19808,                0.14594,                 1.1253,                 1.8529,                 1.2342,               0.002377,               0.002377,               0.002377
                     80,                 1.0937,                 1.6744,                 1.1537,                0.36417,                0.25328,                0.17592,                 0.1285,                 1.1309,                 1.8744,                 1.2441,               0.002278,               0.002278,               0.002278
                     81,                 1.0722,                 1.6312,                 1.1445,                0.39994,                0.24232,                0.19147,                0.14496,                 1.1151,                  1.904,                 1.2424,               0.002179,               0.002179,               0.002179
