                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.0315,                 1.3493,                 1.0316,                0.32213,                0.26915,                0.24011,                0.16736,                 1.1185,                  1.856,                  1.149,               0.005446,               0.005446,               0.005446
                     48,                 1.0358,                 1.3048,                   1.04,                0.24774,                0.28678,                0.19227,                0.12859,                 1.1586,                 2.0169,                 1.1602,               0.005347,               0.005347,               0.005347
                     49,                 1.0143,                 1.3183,                 1.0317,                0.27814,                0.27308,                0.20037,                0.13397,                 1.1332,                 1.8971,                 1.1432,               0.005248,               0.005248,               0.005248
                     50,                 1.0125,                 1.2907,                 1.0291,                0.41199,                0.23775,                0.20232,                0.13588,                 1.1498,                 2.0436,                 1.1594,               0.005149,               0.005149,               0.005149
                     51,                 1.0022,                 1.2452,                 1.0228,                0.31643,                0.26698,                  0.216,                0.15037,                 1.1538,                 2.0457,                 1.1335,                0.00505,                0.00505,                0.00505
                     52,                0.97705,                 1.2313,                 1.0158,                0.41068,                0.28483,                 0.2469,                0.17746,                 1.0872,                 1.8184,                 1.1171,               0.004951,               0.004951,               0.004951
                     53,                 1.0019,                 1.2212,                 1.0296,                0.41067,                0.24358,                0.25433,                0.18306,                 1.1103,                 1.8899,                 1.1387,               0.004852,               0.004852,               0.004852
                     54,                0.98502,                  1.219,                 1.0323,                0.34111,                0.29023,                0.23161,                0.16685,                 1.1485,                  1.946,                 1.1476,               0.004753,               0.004753,               0.004753
                     55,                0.98557,                 1.2302,                 1.0271,                0.32981,                0.25104,                0.22236,                0.15644,                 1.1174,                 1.9544,                 1.1326,               0.004654,               0.004654,               0.004654
                     56,                0.98283,                 1.1807,                 1.0271,                0.30242,                0.27058,                  0.217,                0.14838,                 1.1186,                 2.0509,                 1.1271,               0.004555,               0.004555,               0.004555
                     57,                0.97121,                 1.1754,                 1.0177,                0.37908,                0.25212,                0.22646,                0.16217,                 1.1189,                 1.9266,                 1.1441,               0.004456,               0.004456,               0.004456
                     58,                0.95813,                 1.1614,                 1.0142,                0.30284,                 0.2841,                0.23135,                0.15962,                 1.1222,                 1.9189,                 1.1455,               0.004357,               0.004357,               0.004357
                     59,                0.97663,                 1.1564,                 1.0192,                0.38194,                0.23654,                0.22805,                0.15855,                 1.1124,                 1.9541,                 1.1571,               0.004258,               0.004258,               0.004258
                     60,                0.97806,                 1.1766,                 1.0096,                0.32713,                0.24584,                0.20946,                0.13955,                 1.1208,                 2.0793,                 1.1155,               0.004159,               0.004159,               0.004159
                     61,                0.94488,                 1.1135,                  1.001,                0.34837,                0.27041,                0.24943,                0.17375,                 1.0793,                 2.0091,                 1.1189,                0.00406,                0.00406,                0.00406
                     62,                0.95377,                 1.1277,                 1.0064,                0.35368,                0.24337,                0.22745,                0.15991,                 1.1229,                 1.9625,                 1.1432,               0.003961,               0.003961,               0.003961
                     63,                0.94239,                 1.1121,                 1.0068,                0.36513,                0.26889,                 0.2371,                0.16404,                 1.1112,                 1.9275,                 1.1577,               0.003862,               0.003862,               0.003862
                     64,                0.95439,                 1.0993,                 1.0091,                0.31505,                0.26772,                0.23621,                0.16464,                 1.1202,                 2.0048,                  1.141,               0.003763,               0.003763,               0.003763
                     65,                0.94977,                 1.0756,                 1.0105,                0.39089,                0.26428,                0.24016,                0.17115,                 1.1119,                 1.9066,                 1.1386,               0.003664,               0.003664,               0.003664
